	experiment_config	language	language_family	african_proverb	label	Output Type	predict	morpheme_breaks
20382	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muciriri kirimu ndaigaga muthigi thi	Advising the foolish requires constant caution.	figurative_translate	Ignoring complaints does not resolve problems.	mucirir-i ki-rimu nda-ig-ag-a muthig-i thi
20383	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muciri umwe ndagambaga	Collective judgment is necessary for fairness.	figurative_translate	"Concentrating on a single point leads to success.
"	muc-iri umwe ndagambag-a
20384	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mucukani ndari mucii mwega	Malice destroys one’s own reputation and stability.	figurative_translate	"Do not be overly ambitious.
"	mucukan-i nd-ar-i muci-i mwega
20385	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mugambo uri kugua thi nduoyagwo	Spoken words are irreversible.	figurative_translate	"Delaying action will ultimately harm you.
"	mugambo uri kugu-a thi nduoyagwo
20386	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mugambo uroigwo ndugukagwo	One must honor commitments.	figurative_translate	Persistence leads to success.	mugambo uroigwo ndugukagwo
20387	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mugarirua igiri ndagaga imwe icura	Divided focus leads to loss.	figurative_translate	A single, sharp criticism can reveal a multitude of flaws.	mugariru-a ig-ir-i ndagag-a imwe icur-a
20388	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mugathi uri gutwika nducokaga muigana	Some relationships, once broken, cannot fully heal.	figurative_translate	"Persistence and effort lead to success.
"	mug-ath-i uri gutwik-a ndu-cokag-a muig-an-a
20389	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mugathi wa kuona uteaga wa mwene	Illicit gain leads to greater loss.	figurative_translate	It is unwise to admire someone’s accomplishments excessively.	mug-ath-i wa ku-on-a ute-ag-a wa mw-en-e
20390	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mugeni amiaga mbirira	An outsider may violate norms unknowingly.	figurative_translate	Hasty action leads to regret.	mugen-i ami-ag-a mb-ir-ir-a
20391	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mugeni kirimu ndarugagirwo njohi	Respect is earned through conduct.	figurative_translate	"Do not trust promises made lightly.
"	mugen-i ki-rimu ndarugagirwo njoh-i
20392	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mugeni ndahuhitaga	Courtesy and restraint define good guests.	figurative_translate	"Don't brag about your past successes.
"	mugen-i ndahuhitag-a
20393	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mugeni ni ruui	Guests are temporary and should not overstay.	figurative_translate	"Acting quickly is beneficial.
"	mugen-i ni ru-ui
20394	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mugethi utuku agethire kiri muura	Acting at the wrong time yields poor results.	figurative_translate	Persistent effort is ultimately rewarded.	mugeth-i ut-uk-u agethir-e kir-i mu-ura
20395	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mugi ni mwire	Wisdom comes from accepting guidance.	figurative_translate	Persistence leads to success.	mug-i ni mw-ir-e
20396	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mugiri rwa kunyitura agirire rwa kunyitia	A remedy can worsen the problem.	figurative_translate	"Persistence in effort eventually leads to success.
"	mug-iri rwa kunyit-ur-a agirir-e rwa kunyit-ia
20397	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mugiti ndagaga ruhara	Provocation invites retaliation.	figurative_translate	"You were once generous.
"	mug-it-i ndagag-a ruh-ar-a
20398	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mugogo umwe nduhingaga iriuko	One person alone cannot stop a major force.	figurative_translate	Addressing a single problem effectively prevents widespread hardship.	mugogo umwe ndu-hingag-a iriuko
20399	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mugoma murungu ni uturaga nyungu	Lack of tools or protection leads to damage.	figurative_translate	Cooperation benefits all parties involved.	mugom-a mur-ung-u ni uturag-a ny-ung-u
20400	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mugunda uraga na rutere	Neglect starts small and spreads.	figurative_translate	"Don't be overly hasty.
"	mug-und-a ur-aga na rut-er-e
20401	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mugunda wa mwere umenyagwo na ngetho	Results reveal effort and character.	figurative_translate	Persistent criticism undermines one's self-confidence.	mug-und-a wa mw-er-e umenyagwo na ngetho
20402	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mugunda wene nduinagwo	One values and defends one’s own property.	figurative_translate	Be patient; waiting is necessary.	mug-und-a wen-e ndu-inagwo
20403	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mugurira hakuhi ni ta aheo	Convenience reduces cost and hardship.	figurative_translate	Persistent effort ultimately leads to success.	mug-urir-a hakuh-i ni ta aheo
20404	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mugui utari wa awa ni ukundemburira thiaka	External threats cause unexpected harm.	figurative_translate	Actions taken early in a task are more likely to succeed.	mugu-i utari wa awa ni ukundemburir-a thi-aka
20405	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muhaka na ciake itimuragia thakame	Responsibility borne willingly causes no pain.	figurative_translate	Excessive questioning leads to unnecessary confusion.	muh-ak-a na ci-ak-e itimuragi-a thakam-e
20406	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muhakana na ciake itimuragira	Careful oversight preserves property and success.	figurative_translate	"Impatience leads to mistakes.
"	muhak-an-a na ci-ak-e itimuragir-a
20407	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muhaki ndari hiu igiri	One cannot serve peace while preparing for violence.	figurative_translate	"Hesitation leads to regret.
"	muh-ak-i nd-ar-i hiu ig-ir-i
20408	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muhandi tiwe murii	Effort does not always benefit the one who labors.	figurative_translate	"It is unwise to criticize someone’s work before it is finished.
"	muhand-i ti-we muri-i
20409	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muharwo niwe uthingataga githaka	Urgency forces immediate solutions.	figurative_translate	Past mistakes are the things that can cause the greatest regret.	muharwo ni-we uthingatag-a gith-ak-a
20410	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muhehwo ni matu meri ndaiguaga	Excessive instruction confuses rather than helps.	figurative_translate	Persistence leads to eventual success.	muhehwo ni mat-u meri ndaiguag-a
20411	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muhenania ndathekaga	Deceit carries constant fear.	figurative_translate	Making a small sacrifice now can lead to significant benefits later.	muhenani-a ndathekag-a
20412	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muhenia ago oigaga murimu uri guthira	Deceivers deny problems to avoid exposure.	figurative_translate	Persistence leads to success.	muheni-a ago oigag-a mu-rim-u uri guth-ir-a
20413	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muhenio ari matuku kuri muhenania	Lies shorten the deceiver’s path.	figurative_translate	Actions taken in a difficult situation will be more effective when done within that same challenging context.	muheni-o ari mat-uk-u kur-i muhenani-a
20414	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muhenio ti mugi ta muhenania	Deceit thrives on imbalance of knowledge.	figurative_translate	Excessive self-importance leads to isolation.	muheni-o ti mug-i ta muhenani-a
20415	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muheo ndagathimaga	Gifts should be accepted without scrutiny.	figurative_translate	It is essential to consider the long-term consequences of one’s actions.	mu-he-o ndagathimag-a
20416	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muhikana na kuria ahikanaga na guitwo	Rash action brings quick trouble.	figurative_translate	Taking advantage of a mistake can lead to further mistakes.	muhik-an-a na ku-ri-a ahikanag-a na gu-it-wo
20417	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muhiki ariaga rubia	Impatience wastes resources.	figurative_translate	"Actions have consequences.
"	muh-ik-i ari-aga rubia
20418	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muhiki atumaga rweru	Haste creates avoidable work.	figurative_translate	"Acting hastily can lead to mistakes.
"	muh-ik-i atumag-a rwe-ru
20419	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muhiriga ti muhirigo	Kinship alone is not protection.	figurative_translate	A hasty decision leads to a hasty outcome.	muhirig-a ti muhirig-o
20420	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muhoreri ndari ngui	Calm conduct avoids conflict.	figurative_translate	It is unwise to engage in activities that are beyond one’s capabilities.	muhorer-i nd-ar-i ngu-i
20421	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muhotwo ndararaga kiharo	Experience teaches caution.	figurative_translate	Excessive criticism is destructive.	muhotwo ndararag-a ki-haro
20422	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muhuunu etaga uhutii mukoroku	Comfort dulls empathy.	figurative_translate	Excessive concern about minor details hinders progress.	muhuun-u etaga uhuti-i mukorok-u
20423	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muici athamagia murogi	Crime spreads fear beyond the guilty.	figurative_translate	Excessive concern leads to loss.	muic-i athamagi-a murog-i
20424	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muici na kihii atigaga kieha kiarua	Secrets shared with children never stay hidden.	figurative_translate	A person’s actions have consequences that extend beyond their immediate surroundings.	muic-i na ki-hi-i atigag-a ki-eha kiar-ua
20425	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muici na mundu muka atigaga kieha akua	Crime creates lasting anxiety among accomplices.	figurative_translate	It is unwise to pursue a goal that is unattainable.	muic-i na mund-u mu-ka atigag-a ki-eha aku-a
20426	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muici ndathiragwo ni mari hindi	Guilt corrodes peace of mind.	figurative_translate	"Don't be fooled by superficial appearances.
"	muic-i ndathiragwo ni mar-i hind-i
20427	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muici uri hunyu arindagira uri maguta	Skill conceals wrongdoing longer than clumsiness.	figurative_translate	"A small fault can cause great harm, while a large fault can cause little harm.
"	muic-i uri huny-u arindagir-a uri magut-a
20428	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muici utari munyite ni muria gake	Crime still yields no true gain.	figurative_translate	"Persistence without strategy is futile.
"	muic-i utari munyit-e ni mu-ri-a gak-e
20429	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muici wa muthenya ni oio, na wa utuku ni oio	Wrongdoing is eventually exposed.	figurative_translate	Excessive praise diminishes value, and excessive respect diminishes dignity.	muic-i wa mutheny-a ni oio na wa ut-uk-u ni oio
20430	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muigua uthekagirira cong’e	Kinship obliges mutual support.	figurative_translate	Excessive concern for someone else's well-being can harm your own.	mu-ig-ua uthekagirir-a cong e
20431	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muihwa ndahoyaga na ndaimagwo	Family care is unconditional.	figurative_translate	Persistence is essential for achieving goals.	mui-hw-a ndahoyag-a na ndaimagwo
20432	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muihwa ndaimagwo runyeni	Proximity forces shared emotion.	figurative_translate	The most important thing is to prioritize what is beneficial.	mui-hw-a ndaimagwo runyen-i
20433	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muikarania na kiimba ndagaga maithori	Coexistence reveals character.	figurative_translate	Don't be distracted by trivial matters; focus on the essential goals.	muikarani-a na ki-imba ndagag-a maithor-i
20434	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muikaranio niguo mubarano	Those closest know the truth best.	figurative_translate	Delaying a decision creates problems.	muikarani-o nigu-o mubarano
20435	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muikari muti gitina niwe ui kiria thambo iriaga	Reckless actions harm unintended people.	figurative_translate	Actions have consequences that eventually affect the person who initiated them.	muikar-i mut-i gitin-a ni-we ui ki-ri-a thambo iri-aga
20436	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muikari na hunyu ndakoragwo onete maguta akarega kwihaka	Discipline prevents crisis.	figurative_translate	Excessive criticism undermines one's own confidence.	muikar-i na huny-u ndakoragwo on-et-e magut-a aka-reg-a kwih-ak-a
20437	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muikia ndoi mwehereri	Experience regains value after loss.	figurative_translate	Acting with excessive haste can lead to mistakes.	mui-kia ndo-i mweherer-i
20438	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muimwo ni iri ndatuuraga	Guilt creates constant fear.	figurative_translate	Persistence is the key to achieving a desired outcome.	mu-im-wo ni iri ndatuurag-a
20439	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muingatwo na kihooto ndacokaga	Coexistence does not erase difference.	figurative_translate	Trying to achieve a small gain through deception is ultimately futile.	muingatwo na kihooto nda-cokag-a
20440	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muinuki kwao ndatukagirwo	Roles must be respected.	figurative_translate	Don't criticize someone for your own mistakes.	muinuk-i kwa-o ndatukagirwo
20441	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muka mucangacangi ndagaga mwana	Diligence saves effort.	figurative_translate	Excessive activity leads to unproductive results.	mu-ka mucangacang-i ndagag-a mw-an-a
20442	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muka mukuru acokagirirwo na gikuu	Avoiding responsibility delays maturity.	figurative_translate	Great leadership requires a strong foundation.	mu-ka mu-kur-u acokagirirwo na giku-u
20443	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muka uri kironda ainagira gitiro ihugo	Wisdom is learned from elders.	figurative_translate	"Consistent effort leads to eventual success.
"	mu-ka uri kirond-a ain-agir-a git-ir-o ihug-o
20444	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muka uri mwana ndoraga	Social security outweighs lineage.	figurative_translate	"Persistence is a key factor in achieving success.
"	mu-ka uri mw-an-a ndo-rag-a
20445	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muka wa mwathi ahingaga na kuguru etereire kigurumuki oke	Expertise does not guarantee comfort.	figurative_translate	Persistence in the face of difficulty leads to eventual success.	mu-ka wa mw-ath-i ahingag-a na kugur-u etereir-e kigurumuk-i oke
20446	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muikarire ni umwe no murarire ti umwe	Contempt reveals poor character.	figurative_translate	Consistency produces the same result as harmony.	muikar-ir-e ni umwe no murarir-e ti umwe
20447	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mukagera mahoro ma ndugira	Some tasks are nearly impossible or extremely difficult.	figurative_translate	Persistence in the face of adversity leads to eventual success.	mukager-a ma-horo ma ndug-ir-a
20448	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mukami tiwe munyiti njau	Each person has a specific role or responsibility.	figurative_translate	"Excessive pride leads to downfall.
"	mukami ti-we muny-it-i nja-u
20449	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mukari aimaga uhunii	Greed withholds help regardless of need.	figurative_translate	Persistence overcomes obstacles.	muk-ari aimag-a uhuni-i
20450	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muukiri tene ainukaga tene	Diligence brings efficiency and advantage.	figurative_translate	Persistence leads to achievement.	mu-ukir-i tene ainukag-a tene
20451	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mukurira githunu ndamenyagwo	Avoiding responsibility delays maturity.	figurative_translate	"Don't try to force yourself into a difficult situation.
"	mu-kur-ir-a githun-u ndamenyagwo
20452	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mukuru, gaya, unyonie mugaire	Wisdom and fairness are learned from elders.	figurative_translate	"Don’t be arrogant, accept criticism.
"	mu-kur-u ga-ya unyoni-e muga-ire
20453	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mukwithia ari itigi kwi muthati	Social security is better than total isolation.	figurative_translate	"Do not try to deceive someone by using their mistakes against them.
"	mukwithi-a ari itigi kwi muthat-i
20454	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mumbi arugaga na ngio	Expertise does not guarantee comfort or wealth.	figurative_translate	Ideas can spread quickly and widely.	mumbi arugag-a na ngi-o
20455	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mumeni mundu ungi amwitaga kiongo kia njau	Contempt shows lack of respect and character.	figurative_translate	Speaking openly about difficult matters is necessary for resolving them promptly.	mum-en-i mund-u ung-i amwitag-a ki-ongo kia nja-u
20456	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mumeni ungi amurutaga mbaki iniuru	Disrespect leads to extreme abuse.	figurative_translate	It is unwise to argue with someone who is clearly superior.	mum-en-i ung-i amurutag-a mb-aki iniur-u
20457	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mundu ageraga maimwo ndageraga maheo	People remember losses more than benefits.	figurative_translate	Actions taken in the past have consequences for the future.	mund-u agerag-a ma-im-wo ndagerag-a ma-he-o
20458	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mundu mugi ndari muhere wa uhoro	Intelligence grasps instruction quickly.	figurative_translate	Acting quickly to address a problem prevents significant damage.	mund-u mug-i nd-ar-i muh-er-e wa uhoro
20459	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mundu mugo nderaguragira	Expertise cannot always solve personal problems.	figurative_translate	People’s actions reveal their true character.	mund-u mug-o nderaguragir-a
20460	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mundu mugo wa gwithokia ndari rua	Advice is valued only when requested.	figurative_translate	Persistent effort, even when initially unsuccessful, eventually leads to success.	mund-u mug-o wa gwithoki-a nd-ar-i rua
20461	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mundu mugo wa ituura ndagaga	Familiarity breeds disregard.	figurative_translate	Actions have consequences.	mund-u mug-o wa itu-ur-a ndagag-a
20462	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mundu muka na iguru itimenyagirwo	Some things are unpredictable.	figurative_translate	It is unwise to act without considering the consequences.	mund-u mu-ka na iguru itimenyagirwo
20463	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mundu muka ndoragagwo	Life must be protected regardless of conflict.	figurative_translate	"Excessive pride leads to downfall.
"	mund-u mu-ka ndoragagwo
20464	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mundu muka ndatumagwo thiri-ini	Some tasks demand social restraint.	figurative_translate	One’s past actions determine their current situation.	mund-u mu-ka ndatumagwo th-ir-i ini
20465	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mundu muigwa ni muhootani	Discipline enables success.	figurative_translate	A person’s actions determine their reputation.	mund-u mu-ig-wa ni muhootan-i
20466	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mundu murume ni wa karugi	Decisiveness defines responsibility.	figurative_translate	A man’s worth is determined by his actions.	mund-u mu-rum-e ni wa ka-rug-i
20467	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mundu urakanyuira niwe ui kari rita	Experience teaches better than words.	figurative_translate	Taking responsibility for your own actions is the foundation of trust.	mund-u urakanyuir-a ni-we ui ka-ri rit-a
20468	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mundu uri na undu otaga mwaki na riua	People act from necessity, not chance.	figurative_translate	People have their own reasons for acting as they do.	mund-u uri na undu otaga mw-ak-i na ri-ua
20469	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mundu utari mburi ndendaga nyama	Desire follows possibility.	figurative_translate	"People who are quick to blame others are like animals.
"	mund-u utari mb-ur-i nd-endag-a ny-am-a
20470	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mundu utathiaga athinjaga mwati toi ndurume iri gicegu	Ignorance comes from lack of exposure.	figurative_translate	It is unwise to overstate one’s accomplishments while simultaneously acknowledging one’s weaknesses.	mund-u utathi-ag-a athinjag-a mwat-i toi ndu-rum-e iri giceg-u
20471	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mundu utathiaga oi no nyina urugaga	Travel broadens understanding.	figurative_translate	It is unwise to defy authority or elders.	mund-u utathi-ag-a oi no ny-in-a urugag-a
20472	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mundu wa rurugi ourugagwo akerwo niwe wourugana	Reputation outweighs circumstance.	figurative_translate	Persistence in the face of difficulty leads to eventual success.	mund-u wa rurug-i ourugagwo ak-erwo ni-we wourugan-a
20473	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mundwithia rimwe ngagacoka kunwithia ringi	Repeated mistakes deserve blame.	figurative_translate	One small loss is better than many large losses.	mundwithi-a rimw-e ngagacok-a kunwithi-a ringi
20474	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Munua umwe ni ugaruragirwo	Change of environment brings renewal.	figurative_translate	"Reliance on a single source provides vulnerability.
"	mun-ua umwe ni ugaruragirwo
20475	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Munyaka ni unyakukagwo	Opportunity is temporary.	figurative_translate	Each year brings new challenges.	muny-ak-a ni unyakukagwo
20476	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Munyaka uri mbere ya kahinga	Success requires effort and endurance.	figurative_translate	The beginning of a year is a time of great potential and risk.	muny-ak-a uri mb-ere ya ka-hinga
20477	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Munyaka ndurokaga	Luck cannot be relied upon.	figurative_translate	"A difficult year is approaching.
"	muny-ak-a ndurokag-a
20478	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Munyotu athiaga ruui	Need compels action.	figurative_translate	Speaking too much can lead to unnecessary problems.	munyot-u athi-ag-a ru-ui
20479	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Mura na mundu ti mura na hiti	Human betrayal hurts more than natural loss.	figurative_translate	"Consistency in behavior is more valuable than superficial agreement.
"	mur-a na mund-u ti mur-a na hit-i
20480	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muragani ndakayaga, no muragwo ukayaga	The victim bears the suffering.	figurative_translate	It is better to do what you can than to try to do what others can.	muragan-i ndakayag-a no mu-rag-wo ukayag-a
20481	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muregi akirwo ndaregaga akihetwo	Respectful refusal prevents conflict.	figurative_translate	Delaying action leads to missed opportunities.	mu-reg-i ak-irwo ndaregag-a akihetwo
20482	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muregi gwathwo ndangihota gwathana	Authority requires discipline.	figurative_translate	It is unwise to pursue a goal that requires excessive effort or sacrifice.	mu-reg-i gwath-wo ndangihot-a gwath-an-a
20483	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muremwo ni ndugo oigaga nja iri mahiga	Failure is blamed on circumstances.	figurative_translate	Persistence in a difficult task eventually leads to success.	muremwo ni ndugo oigag-a nja iri ma-hig-a
20484	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muri kuria ta athi a thatu	Hard times force compromise.	figurative_translate	"Do not give unsolicited advice.
"	mur-i ku-ri-a ta ath-i a thatu
20485	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muria na gati ndoi muria na kaara ni akuhia	Those shielded from hardship lack empathy.	figurative_translate	Actions have consequences.	mu-ri-a na gat-i ndo-i mu-ri-a na ka-ara ni aku-hia
20486	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muria ngime ni uri mukimiri	Every benefit comes from someone’s effort.	figurative_translate	Persistence in the face of difficulty leads to success.	mu-ri-a ngime ni uri mukimir-i
20487	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muria njithi yake ndarundagwo	A person is free to use what is rightfully theirs.	figurative_translate	It is essential to prioritize one's own interests.	mu-ri-a njith-i yak-e ndarundagwo
20488	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Muria wiki akuaga wiki	Selfishness leads to isolation.	figurative_translate	Persistence yields eventual success.	mu-ri-a wiki aku-aga wiki
20489	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Murimirwo ni ithe ndoi indo iri bata	What comes easily is rarely appreciated.	figurative_translate	Delaying a necessary action can make it more difficult to complete.	murim-irwo ni ith-e ndo-i ind-o iri bata
20490	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Murimi ndoinagwo guoko	Do not destroy the source of your benefit.	figurative_translate	Taking a small step is better than attempting a large, difficult task.	mur-im-i ndoinagwo gu-oko
20491	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Murimi umwe ndaiyuragia ikumbi	Collective effort brings abundance.	figurative_translate	One person’s generosity can benefit many.	mur-im-i umwe ndaiyuragi-a ikumb-i
20492	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Murimi tiwe murii	Those who work do not always enjoy the rewards.	figurative_translate	"Don’t criticize someone who is experiencing difficulty.
"	mur-im-i ti-we muri-i
20493	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Murio nduminaga ng’aragu	Pleasure cannot replace real needs.	figurative_translate	Excessive concern about minor details distracts from important goals.	muri-o nduminag-a ng arag-u
20494	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Murio ndunenganagirwo	Enjoyment is personal and individual.	figurative_translate	"Actions have consequences.
"	muri-o ndunenganagirwo
20495	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Murio ndutuuraga ta ngatho	Gratitude outlives momentary pleasure.	figurative_translate	It is better to face difficulties than to avoid them.	muri-o ndutuurag-a ta ngath-o
20496	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Murio niwiriagira	Excessive pleasure leads to self-destruction.	figurative_translate	Acting quickly can lead to ruin.	muri-o niwiriagir-a
20497	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Murio ugiraga kieha	Pleasure often carries hidden pain.	figurative_translate	Excessive questioning undermines progress.	muri-o ug-irag-a ki-eha
20498	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Murio uminaga magego	Excess indulgence causes harm.	figurative_translate	"Do not speak of a problem you haven’t solved.
"	muri-o uminag-a magego
20499	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Murio urutaga hungu muti iguru	Attraction exposes one to danger.	figurative_translate	"Do not underestimate someone who appears to be insignificant.
"	muri-o urutag-a hung-u mut-i iguru
20500	gemma3-4b-it-gen_eng_fig-Kenya	gikuyu	bantu	Murio wa njohi ni uriukagwo, no wa indo nduriukagwo	Greed grows deeper than physical indulgence.	figurative_translate	Excessive concern with trivial matters is as pointless as worrying about the smallest grain of sand.	muri-o wa njoh-i ni uriukagwo no wa ind-o nduriukagwo
